textureGuid,spriteFileId,spriteName,texturePath
522b3159c22d834448693c6423ca89c0,21300000,Pale Light Texture,Assets/Graphics/Texture Generation/Light Textures/Pale Light Texture.png
f9127629456e00b4f97655d5abc155e4,21300000,2129,Assets/Sprites/BattleBackgrounds/Dragon's Lair/2129.jpg
3ebc4dedcb6176b4c9568bde129abbb9,3286163911610860551,BackgroundSprite,Assets/Sprites/BattleBackgrounds/Dragon's Lair/Background.svg
f9653f5a9539481429effa8f9343d7f7,3286163911610860551,501Sprite,Assets/Sprites/BattleBackgrounds/Dragon's Lair/shapes/501.svg
90752a4f9ec44ff47a83a138c576197e,3286163911610860551,2134Sprite,Assets/Sprites/BattleBackgrounds/Sewer/shapes/2134.svg
6735a54954c187e489de0465dbbddecc,3286163911610860551,2400Sprite,Assets/Sprites/Characters/BattleModels/Deugan/shapes/2400.svg
8ae07bc519304fb4490ae57e2a50ca7b,3286163911610860551,2401Sprite,Assets/Sprites/Characters/BattleModels/Deugan/shapes/2401.svg
decea739573a1c14597695b7c4d31653,3286163911610860551,2402Sprite,Assets/Sprites/Characters/BattleModels/Deugan/shapes/2402.svg
8fa714af73aeae240b27e39cff717f85,3286163911610860551,Fumerat Acrid Fog,Assets/Sprites/Characters/BattleModels/Effects/shapes/Fumerat Acrid Fog.svg
48972f1086ea4ae4db0b1e67b874c3e9,3286163911610860551,200Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/200.svg
384f2e3bf098d794493af25ac6b08a1f,3286163911610860551,201Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/201.svg
b5ff9f0374647c1409b2a406cb47995b,3286163911610860551,202Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/202.svg
aaf6bbacb3073334b87646ae433a6a12,3286163911610860551,203Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/203.svg
5fbaf77aebbf36e4da7807e6ba1b7632,3286163911610860551,204Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/204.svg
8312f61ca6c7361489cf7fedb46b2c4d,3286163911610860551,205Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/205.svg
29e9c4695b5b95e4eac7ddb6e88c46b2,3286163911610860551,206Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/206.svg
0e0e17ac991d6b1458598ff5f6f50318,3286163911610860551,207Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/207.svg
62d2b18f8d01eac4d8026d92c27ee770,3286163911610860551,208Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/208.svg
3bc1d04251ececd48b2d6c8045246716,3286163911610860551,209Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/209.svg
8845f6eee98984e4ea5a9a461edf0f16,3286163911610860551,210Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/210.svg
7a4e5956ea7a25c4a86b8675a0bae2da,3286163911610860551,211Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/211.svg
2a4741196957bca4eab00d8fe9cd3980,3286163911610860551,212Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/212.svg
7942821e97049f54cb05de30a0d1dcb8,3286163911610860551,213Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/213.svg
4c35043afecec8f4fb7b9972eb52d9fb,3286163911610860551,214Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/214.svg
10bf71f1e3e1f67478f4fcfdb6314332,3286163911610860551,215Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/215.svg
56d1d327327c9844faccd2f9c615199c,3286163911610860551,216Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/216.svg
be3e0b5ca82237e43966a48749691af8,3286163911610860551,217Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/217.svg
17f9a719c5f8c104eb71d657c33954d8,3286163911610860551,218Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/218.svg
75d63b4347445a2498a3bc0eece34590,3286163911610860551,448Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/448.svg
e1928ae90c8850742b73e6bc6954c5a2,3286163911610860551,2222Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2222.svg
68aaa9225b7e1fe42a2356ae9ca185a7,3286163911610860551,2223Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2223.svg
fe15c7433a6644b4c830fda71da9e605,3286163911610860551,2224Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2224.svg
3cce370f482696849a4598a72e0f09ff,3286163911610860551,2225Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2225.svg
1eb63b06b1fd66043b73a273dbfbbd06,3286163911610860551,2226Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2226.svg
0370d2be8d1def446b0e01c11e407318,3286163911610860551,2227Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2227.svg
d7f905d8c60997f4b95c2b6535a89a4d,3286163911610860551,2228Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2228.svg
2b243c181d4d39a419c6b31b2250af7c,3286163911610860551,2229Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2229.svg
8152140b26e50ad4d9c815ac372dde8c,3286163911610860551,2230Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2230.svg
f931c02dd77478e4087838e7f377e5f5,3286163911610860551,2231Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2231.svg
c4934c756a9fdda44be08051b7e77a6f,3286163911610860551,2235Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2235.svg
c4a2b2965edadb54892aca82fefbfa28,3286163911610860551,2236Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2236.svg
0684e21bcc0a88445821ce321f3a5a2c,3286163911610860551,2237Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2237.svg
e52a35451cf00c949a231c9a7a2e5526,3286163911610860551,2239Sprite,Assets/Sprites/Characters/BattleModels/Imported Shapes/2239.svg
